REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Tanga,Urban,42,Male,Married/living together,Primary completed,Salaries/wages from regular job,"Work for individual/household e.g. security guard, maid etc",Full-time throughout the year,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Urban,25,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Arusha,Urban,66,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,48,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,71,Female,Widowed,No formal education,Social welfare money/grant from Government, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,25,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,32,Male,Divorced/separated,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,29,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,45,Female,Divorced/separated,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,51,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,Yes,No, , , , , , , , , , , , , , , , , , , 
Lindi,Urban,70,Female,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,56,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Urban,59,Male,Married/living together,Post primary technical training,Pension, , ,FALSE,always,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,47,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,20,Female,Single/never married,Primary completed, , , ,FALSE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mbeya,Urban,19,Male,Single/never married,Secondary competed-O level, , , ,TRUE,never,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,42,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,TRUE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Kagera,Urban,76,Female,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,39,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Urban,34,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,30,Male,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,23,Female,Single/never married,University or higher education completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,TRUE,often,Mobile Money Agents,Private health care facility /consult private doctor,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mara,Urban,47,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,25,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,25,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,22,Female,Single/never married,Secondary competed-O level,Salaries/wages from regular job,Government,Part-time/Seasonally/Occasionally,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mara,Urban,31,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,34,Female,Married/living together,Primary completed, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,49,Female,Divorced/separated,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,65,Female,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,47,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,45,Female,Widowed,Primary completed,Piece work/Casual labor/Occasional jobs, , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Katavi,Urban,41,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always, ,Private health care facility /consult private doctor,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,54,Female,Divorced/separated,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,45,Female,Divorced/separated,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,27,Male,Single/never married,Secondary competed-O level,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,83,Female,Widowed,No formal education, , , ,FALSE,never,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,39,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,23,Female,Single/never married,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Banks e.g,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Urban,73,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Banks e.g,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,73,Female,Widowed,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,41,Female,Widowed,Primary completed,Piece work/Casual labor/Occasional jobs,"Work for individual/household e.g. security guard, maid etc",Part-time/Seasonally/Occasionally,FALSE,rarely,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,18,Female,Single/never married,Some secondary, , , ,FALSE,never, ,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,25,Female,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Pwani,Urban,17,Female,Married/living together,Primary completed, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,59,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Private health care facility /consult private doctor,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mbeya,Urban,33,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,32,Female,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,53,Female,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,42,Male,Married/living together,Some secondary,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,51,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,46,Female,Divorced/separated,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tanga,Urban,27,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Mtwara,Urban,40,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,29,Female,Married/living together,Primary completed, , , ,FALSE,Don’t know, ,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
